,Label,Parameter,Treatment,Value,Significant,Time,Significance
93,Dark2,FF,T2,0.346507829,NS,96 h,p>0.05
94,Dark2,TD,T2,0.490718828,NS,96 h,p>0.05
95,Dark2,TA,T2,-0.088914216,NS,96 h,p>0.05
96,Dark2,V,T2,0.490734947,NS,96 h,p>0.05
97,Dark3,AV,T2,0.17887416,NS,96 h,p>0.05
98,Dark3,CF,T2,0.351831612,NS,96 h,p>0.05
99,Dark3,CD,T2,0.445627385,NS,96 h,p>0.05
100,Dark3,FD,T2,-0.445627385,NS,96 h,p>0.05
101,Dark3,FF,T2,0.350488565,NS,96 h,p>0.05
102,Dark3,TD,T2,0.410781864,NS,96 h,p>0.05
103,Dark3,TA,T2,0.178874761,NS,96 h,p>0.05
104,Dark3,V,T2,0.4107903,NS,96 h,p>0.05
105,Light1,AV,T2,0.10737268,NS,96 h,p>0.05
106,Light1,CF,T2,0.321240784,NS,96 h,p>0.05
107,Light1,CD,T2,0.477577646,NS,96 h,p>0.05
108,Light1,FD,T2,-0.477577646,NS,96 h,p>0.05
109,Light1,FF,T2,0.319150947,NS,96 h,p>0.05
110,Light1,TD,T2,0.542321892,S,96 h,p<0.05
111,Light1,TA,T2,0.107372644,NS,96 h,p>0.05
112,Light1,V,T2,0.54233355,S,96 h,p<0.05
113,Light2,AV,T2,0.069309857,NS,96 h,p>0.05
114,Light2,CF,T2,0.462149717,NS,96 h,p>0.05
115,Light2,CD,T2,0.637687556,SS,96 h,p<0.01
116,Light2,FD,T2,-0.637687556,SS,96 h,p<0.01
117,Light2,FF,T2,0.46098333,NS,96 h,p>0.05
118,Light2,TD,T2,0.696477729,SS,96 h,p<0.01
119,Light2,TA,T2,0.069310118,NS,96 h,p>0.05
120,Light2,V,T2,0.696467183,SS,96 h,p<0.01
121,Dark1,AV,T3,0.251331987,NS,96 h,p>0.05
122,Dark1,CF,T3,0.162274542,NS,96 h,p>0.05
123,Dark1,CD,T3,0.240743284,NS,96 h,p>0.05
124,Dark1,FD,T3,-0.254008391,NS,96 h,p>0.05
125,Dark1,FF,T3,0.162931841,NS,96 h,p>0.05
126,Dark1,TD,T3,0.244941978,NS,96 h,p>0.05
127,Dark1,TA,T3,0.251332422,NS,96 h,p>0.05
128,Dark1,V,T3,0.247074764,NS,96 h,p>0.05
129,Dark2,AV,T3,-0.011109712,NS,96 h,p>0.05
130,Dark2,CF,T3,0.018988672,NS,96 h,p>0.05
131,Dark2,CD,T3,0.050588477,NS,96 h,p>0.05
132,Dark2,FD,T3,-0.050588477,NS,96 h,p>0.05
133,Dark2,FF,T3,0.01870219,NS,96 h,p>0.05
134,Dark2,TD,T3,0.043242949,NS,96 h,p>0.05
135,Dark2,TA,T3,-0.011110018,NS,96 h,p>0.05
136,Dark2,V,T3,0.043235845,NS,96 h,p>0.05
137,Dark3,AV,T3,0.115236026,NS,96 h,p>0.05
138,Dark3,CF,T3,0.105476219,NS,96 h,p>0.05
139,Dark3,CD,T3,0.052687752,NS,96 h,p>0.05
140,Dark3,FD,T3,-0.052687752,NS,96 h,p>0.05
141,Dark3,FF,T3,0.10556955,NS,96 h,p>0.05
142,Dark3,TD,T3,0.013342356,NS,96 h,p>0.05
143,Dark3,TA,T3,0.115236382,NS,96 h,p>0.05
144,Dark3,V,T3,0.013356869,NS,96 h,p>0.05
145,Light1,AV,T3,-0.073843242,NS,96 h,p>0.05
146,Light1,CF,T3,0.261490945,NS,96 h,p>0.05
